time_s,source_charge_centered_nC,transfer_charge_from_start_nC
6.322499765796e-01,1.168924864757e+02,-4.708146663995e+01
6.323193478739e-01,1.169046884392e+02,-4.706926467642e+01
6.323887191682e-01,1.169168904027e+02,-4.705706271288e+01
6.324580904626e-01,1.169290923663e+02,-4.704486074935e+01
6.325274617569e-01,1.169412943298e+02,-4.703265878581e+01
6.325968330513e-01,1.169534962933e+02,-4.702045682228e+01
6.326662043456e-01,1.169656982569e+02,-4.700825485875e+01
6.327355756399e-01,1.169779002204e+02,-4.699605289521e+01
6.328049469343e-01,1.169901021839e+02,-4.698385093168e+01
6.328743182286e-01,1.170023041475e+02,-4.697164896814e+01
6.329436895229e-01,1.170145061110e+02,-4.695944700461e+01
6.330130608173e-01,1.170267080745e+02,-4.694724504107e+01
6.330824321116e-01,1.170389100381e+02,-4.693504307754e+01
6.331518034059e-01,1.170511120016e+02,-4.692284111400e+01
6.332211747003e-01,1.170633139651e+02,-4.691063915047e+01
6.332905459946e-01,1.170755159287e+02,-4.689843718694e+01
6.333599172890e-01,1.170877178922e+02,-4.688623522340e+01
6.334292885833e-01,1.170999198557e+02,-4.687403325987e+01
6.334986598776e-01,1.171121218193e+02,-4.686183129633e+01
6.335680311720e-01,1.171243237828e+02,-4.684962933280e+01
6.336374024663e-01,1.171365257463e+02,-4.683742736926e+01
6.337067737606e-01,1.171487277099e+02,-4.682522540573e+01
6.337761450550e-01,1.171609296734e+02,-4.681302344220e+01
6.338455163493e-01,1.171731316369e+02,-4.680082147866e+01
6.339148876436e-01,1.171853336005e+02,-4.678861951513e+01
6.339842589380e-01,1.171975355640e+02,-4.677641755159e+01
6.340536302323e-01,1.172097375275e+02,-4.676421558806e+01
6.341230015267e-01,1.172219394911e+02,-4.675201362452e+01
6.341923728210e-01,1.172341414546e+02,-4.673981166099e+01
6.342617441153e-01,1.172463434182e+02,-4.672760969746e+01
6.343311154097e-01,1.172585453817e+02,-4.671540773392e+01
6.344004867040e-01,1.172707473452e+02,-4.670320577039e+01
6.344698579983e-01,1.172829493088e+02,-4.669100380685e+01
6.345392292927e-01,1.172951512723e+02,-4.667880184332e+01
6.346086005870e-01,1.173073532358e+02,-4.666659987978e+01
6.346779718813e-01,1.173195551994e+02,-4.665439791625e+01
6.347473431757e-01,1.173317571629e+02,-4.664219595271e+01
6.348167144700e-01,1.173439591264e+02,-4.662999398918e+01
6.348860857644e-01,1.173561610900e+02,-4.661779202565e+01
6.349554570587e-01,1.173683630535e+02,-4.660559006211e+01
6.350248283530e-01,1.173805650170e+02,-4.659338809858e+01
6.350941996474e-01,1.173927669806e+02,-4.658118613504e+01
6.351635709417e-01,1.174049689441e+02,-4.656898417151e+01
6.352329422360e-01,1.174171709076e+02,-4.655678220797e+01
6.353023135304e-01,1.174293728712e+02,-4.654458024444e+01
6.353716848247e-01,1.174415748347e+02,-4.653237828091e+01
6.354410561190e-01,1.174537767982e+02,-4.652017631737e+01
6.355104274134e-01,1.174659787618e+02,-4.650797435384e+01
6.355797987077e-01,1.174781807253e+02,-4.649577239030e+01
